contig	length	gc	stage1_fre	stage1_mean_depth	stage1_mean_cov	stage2_fre	stage2_mean_depth	stage2_mean_cov	control.fre	control.mean.depth	contro.mean.cov	annotation
k141_10330	539	0.419	5	4.600	0.968	10	9.700	0.872	2446	466.738496591852	0.899131095111724	Homo sapiens
k141_4138	718	0.425	4	6.750	0.953	9	15.667	0.733	2446	460.896097386793	0.929750989081138	NA
k141_3023	491	0.418	5	6.200	0.986	8	14.375	0.987	2446	459.155265425198	0.944220000049796	Naegleria fowleri
k141_8977	453	0.424	4	1.000	0.891	2	2.000	0.736	2446	452.365708856043	0.910243905893376	NA
k141_4455	949	0.421	2	4.000	0.771	8	8.500	0.605	2446	452.033925674029	0.868001829259672	Homo sapiens
k141_1531	317	0.420	3	1.333	0.858	3	5.667	0.878	2446	450.133780667119	0.963629698894969	NA
k141_5478	523	0.421	4	4.750	0.950	7	9.000	0.830	2446	444.31157079404	0.844641071939824	NA
k141_7814	533	0.426	4	4.000	0.879	6	8.500	0.902	2446	440.94923821775	0.938933911876221	NA
k141_2800	478	0.416	3	1.333	0.720	5	3.800	0.702	2446	438.536356574901	0.857136706272025	NA
k141_4295	506	0.415	5	3.600	0.845	8	6.250	0.816	2446	437.753629573161	0.92519650394605	Homo sapiens
k141_9030	471	0.414	4	2.000	0.896	3	4.333	0.996	2446	432.266991468892	0.937326552512853	Homo sapiens
k141_2151	468	0.427	4	1.500	0.690	4	4.500	0.883	2446	428.8326050516	0.924946930789222	NA
k141_4600	517	0.433	5	5.200	0.956	7	13.286	0.946	2446	427.89863098532	0.928578896150757	NA
k141_263	376	0.418	2	1.500	0.971	2	2.500	0.900	2446	422.516185984789	0.943782066588125	NA
k141_7520	559	0.431	3	2.667	0.735	5	7.400	0.809	2446	416.469695625487	0.9354555416062	Naegleria fowleri
k141_10113	651	0.435	4	3.750	0.975	7	2.857	0.775	2446	410.978256612083	0.935040478591067	NA
k141_9049	560	0.420	5	4.400	0.939	9	7.111	0.929	2446	396.993391786675	0.909081675421374	NA
k141_9691	846	0.420	4	7.000	0.906	8	8.375	0.758	2446	393.029465344213	0.933486227096479	NA
k141_2287	350	0.440	2	2.500	0.976	4	5.000	0.919	2446	392.253795261026	0.903542409947927	Homo sapiens
k141_1557	498	0.420	3	2.667	0.829	5	5.600	0.889	2446	388.788138288472	0.817162084857644	Homo sapiens
k141_8896	594	0.434	5	7.600	0.909	7	23.571	0.916	2446	388.373230497267	0.936328616535433	NA
k141_6757	675	0.424	5	5.000	0.639	8	6.125	0.703	2446	387.637780822333	0.917362539992957	NA
k141_5868	673	0.419	5	6.800	0.935	9	11.222	0.865	2446	387.591084952104	0.868161579812155	NA
k141_7899	723	0.416	5	6.000	0.898	7	13.429	0.844	2446	378.407351106472	0.953810052931487	NA
k141_6695	610	0.411	4	1.750	0.818	5	3.800	0.832	2446	375.165667883526	0.910575924143703	NA
k141_1541	765	0.426	4	7.500	0.901	11	7.545	0.835	2446	365.660811425255	0.944522993894377	Homo sapiens
k141_1910	743	0.429	5	4.200	0.831	6	21.333	0.813	2446	364.950245588062	0.962847964382435	Homo sapiens
k141_7541	680	0.412	5	7.200	0.869	9	15.556	0.835	2446	364.528298732791	0.82299928129681	NA
k141_3439	793	0.419	5	9.400	0.893	9	19.444	0.830	2446	360.567108188486	0.919118000272302	NA
k141_8932	846	0.387	4	1.750	0.765	6	3.500	0.739	2446	355.241054870522	0.518171132886115	NA
k141_5060	496	0.419	4	1.750	0.992	5	4.200	0.923	2446	346.864011961139	0.954969752953726	NA
k141_218	734	0.432	4	1.500	0.671	7	2.714	0.747	2446	344.949936171702	0.950967027449628	NA
k141_2408	528	0.422	4	2.750	0.740	4	6.250	0.838	2446	319.140965617118	0.895351033255251	Homo sapiens
k141_4133	938	0.435	4	2.750	0.785	6	3.167	0.712	2446	314.152221633052	0.93634498735209	NA
k141_580	749	0.426	3	1.000	0.512	7	2.857	0.735	2446	312.457865918946	0.900680644491871	NA
k141_2707	1053	0.414	5	8.000	0.876	11	17.636	0.815	2446	302.006961499906	0.903049501029335	NA
k141_4163	882	0.424	4	4.000	0.946	6	13.667	0.893	2446	286.736788447666	0.944077719114154	NA
k141_1846	1373	0.417	5	35.200	0.954	18	74.444	0.714	2446	272.175827773316	0.876968788884782	Homo sapiens
k141_10417	707	0.427	5	5.000	0.901	9	11.111	0.848	2446	255.266378495761	0.878597402496465	Homo sapiens
k141_9177	737	0.411	3	1.333	0.550	3	2.667	0.781	2446	214.717120378791	0.914028131617993	NA
k141_10389	795	0.423	4	7.250	0.950	10	8.200	0.665	2446	180.374662710283	0.876084787238959	NA
k141_4397	1331	0.423	3	3.000	0.637	4	4.250	0.731	2446	147.21127362627	0.829913595437726	NA
k141_318	1003	0.415	3	1.667	0.727	4	5.250	0.771	2446	108.116607605439	0.887860185163196	NA
k141_336	1308	0.380	1	11.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_2859	1208	0.391	1	166.000	0.997	10	69.500	0.452	NA	NA	NA	NA
k141_10030	1178	0.374	1	8.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_10216	1116	0.395	1	100.000	1.000	6	129.333	0.750	NA	NA	NA	NA
k141_1618	1109	0.393	1	16.000	1.000	1	15.000	0.328	NA	NA	NA	NA
k141_4061	1056	0.377	2	1.000	0.609	0	0.000	0.000	NA	NA	NA	NA
k141_9948	1047	0.458	1	7.000	1.000	1	11.000	0.827	NA	NA	NA	NA
k141_4143	1011	0.381	1	189.000	1.000	3	28.000	0.763	NA	NA	NA	NA
k141_5982	992	0.362	1	6.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_2316	974	0.338	1	3.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_4419	967	0.384	3	4.000	0.795	1	6.000	0.805	NA	NA	NA	NA
k141_8730	965	0.446	1	36.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_10451	965	0.399	1	2.000	1.000	3	3.000	0.567	NA	NA	NA	NA
k141_4020	962	0.378	1	88.000	1.000	2	25.500	0.857	NA	NA	NA	NA
k141_10469	957	0.375	1	8.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_1793	926	0.354	1	7.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_9615	922	0.364	1	3.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_4959	885	0.367	2	1.000	0.648	1	2.000	0.576	NA	NA	NA	NA
k141_6817	883	0.364	1	8.000	1.000	5	13.200	0.452	NA	NA	NA	NA
k141_9362	851	0.435	1	9.000	1.000	1	1.000	0.422	NA	NA	NA	NA
k141_9040	851	0.357	1	10.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_1878	849	0.329	1	2.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_2196	849	0.395	2	2.000	0.657	1	1.000	0.420	NA	NA	NA	NA
k141_1855	843	0.383	2	2.000	0.646	0	0.000	0.000	NA	NA	NA	NA
k141_8003	834	0.371	1	1.000	0.963	2	1.500	0.454	NA	NA	NA	NA
k141_7895	815	0.373	1	121.000	1.000	4	11.500	0.494	NA	NA	NA	NA
k141_10523	812	0.367	1	210.000	1.000	9	45.222	0.443	NA	NA	NA	NA
k141_3360	811	0.290	1	16.000	1.000	3	16.333	0.524	NA	NA	NA	NA
k141_131	805	0.399	3	1.000	0.800	1	7.000	0.963	NA	NA	NA	NA
k141_9744	805	0.394	1	6.000	1.000	1	24.000	0.627	NA	NA	NA	NA
k141_4271	800	0.352	1	15.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_2705	791	0.399	1	43.000	1.000	7	66.714	0.665	NA	NA	NA	NA
k141_5027	779	0.393	1	1.000	1.000	2	1.500	0.660	NA	NA	NA	NA
k141_9419	771	0.433	3	2.667	0.744	1	9.000	0.975	NA	NA	NA	NA
k141_10318	763	0.374	1	1.000	1.000	2	1.500	0.625	NA	NA	NA	NA
k141_9737	762	0.411	1	7.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_3429	760	0.367	1	72.000	1.000	5	65.000	0.736	NA	NA	NA	NA
k141_921	748	0.370	1	147.000	1.000	2	36.500	0.798	NA	NA	NA	NA
k141_8535	744	0.363	2	1.000	0.874	0	0.000	0.000	NA	NA	NA	NA
k141_10301	739	0.372	2	2.500	0.968	1	1.000	0.242	NA	NA	NA	NA
k141_3724	739	0.402	3	2.333	0.963	1	6.000	0.954	NA	NA	NA	NA
k141_6523	734	0.425	1	5.000	1.000	4	2.000	0.563	NA	NA	NA	NA
k141_9528	726	0.405	1	7.000	1.000	4	9.750	0.589	NA	NA	NA	NA
k141_924	723	0.385	3	2.000	0.763	0	0.000	0.000	NA	NA	NA	NA
k141_10345	721	0.424	1	3.000	1.000	1	2.000	0.639	NA	NA	NA	NA
k141_9698	716	0.399	1	50.000	1.000	7	29.286	0.610	NA	NA	NA	NA
k141_9816	711	0.373	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_6982	702	0.363	1	1.000	0.943	3	2.667	0.480	NA	NA	NA	NA
k141_10192	698	0.381	2	1.500	0.756	1	2.000	0.699	NA	NA	NA	NA
k141_2389	696	0.343	1	51.000	1.000	6	39.167	0.614	NA	NA	NA	NA
k141_6898	695	0.377	2	1.500	0.897	1	6.000	1.000	NA	NA	NA	NA
k141_10003	692	0.396	1	32.000	1.000	1	11.000	1.000	NA	NA	NA	NA
k141_1032	692	0.367	1	8.000	1.000	1	5.000	0.895	NA	NA	NA	NA
k141_8439	687	0.402	1	3.000	1.000	2	1.000	0.505	NA	NA	NA	NA
k141_9597	679	0.381	2	1.500	0.566	1	6.000	0.976	NA	NA	NA	NA
k141_9944	678	0.397	3	2.000	0.613	0	0.000	0.000	NA	NA	NA	NA
k141_2430	677	0.374	1	1.000	0.880	0	0.000	0.000	NA	NA	NA	NA
k141_2867	676	0.420	3	1.333	0.969	1	1.000	0.251	NA	NA	NA	NA
k141_4711	673	0.367	3	2.667	0.969	1	3.000	0.856	NA	NA	NA	NA
k141_4643	670	0.369	1	1.000	1.000	3	1.333	0.430	NA	NA	NA	NA
k141_3015	669	0.407	1	4.000	0.997	2	1.000	0.658	NA	NA	NA	NA
k141_3807	668	0.368	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_9274	667	0.369	1	1.000	1.000	5	1.200	0.764	NA	NA	NA	NA
k141_6450	667	0.387	1	3.000	0.868	3	2.000	0.825	NA	NA	NA	NA
k141_4607	667	0.405	1	3.000	1.000	2	1.500	0.708	NA	NA	NA	NA
k141_4521	666	0.392	2	2.000	0.893	1	3.000	0.851	NA	NA	NA	NA
k141_8062	664	0.395	1	1.000	0.916	1	1.000	0.096	NA	NA	NA	NA
k141_1179	662	0.373	4	1.500	0.894	1	6.000	0.971	NA	NA	NA	NA
k141_8758	660	0.395	1	27.000	1.000	5	18.000	0.614	NA	NA	NA	NA
k141_7825	658	0.409	1	34.000	1.000	4	12.500	0.681	NA	NA	NA	NA
k141_9032	656	0.386	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_4854	656	0.372	1	1.000	0.973	4	1.500	0.537	NA	NA	NA	NA
k141_10307	654	0.341	1	4.000	1.000	2	2.000	0.482	NA	NA	NA	NA
k141_9643	653	0.375	2	2.000	0.573	1	2.000	0.479	NA	NA	NA	NA
k141_1612	652	0.397	3	3.667	0.924	1	16.000	0.974	NA	NA	NA	NA
k141_9164	652	0.385	1	3.000	1.000	1	2.000	0.805	NA	NA	NA	NA
k141_10259	651	0.518	1	4.000	1.000	1	1.000	0.553	NA	NA	NA	NA
k141_2851	650	0.366	4	2.250	0.820	1	4.000	0.660	NA	NA	NA	NA
k141_10519	650	0.346	2	1.500	0.735	1	4.000	0.668	NA	NA	NA	NA
k141_9370	649	0.391	3	3.000	0.914	1	1.000	0.809	NA	NA	NA	NA
k141_3337	648	0.355	1	17.000	1.000	2	27.500	0.953	NA	NA	NA	NA
k141_3927	646	0.409	3	2.000	0.693	1	6.000	0.878	NA	NA	NA	NA
k141_6578	645	0.375	2	1.000	0.782	0	0.000	0.000	NA	NA	NA	NA
k141_8245	644	0.438	1	3.000	1.000	6	2.000	0.584	NA	NA	NA	NA
k141_1604	642	0.394	1	1.000	0.819	6	2.500	0.735	NA	NA	NA	NA
k141_7651	642	0.354	1	22.000	1.000	3	24.667	0.456	NA	NA	NA	NA
k141_944	642	0.405	2	2.000	0.759	1	2.000	0.693	NA	NA	NA	NA
k141_9204	641	0.417	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_4210	640	0.389	2	1.500	0.836	1	1.000	0.589	NA	NA	NA	NA
k141_4565	640	0.386	1	10.000	1.000	2	2.500	0.634	NA	NA	NA	NA
k141_2578	639	0.379	1	1.000	1.000	2	2.000	0.669	NA	NA	NA	NA
k141_4883	638	0.303	2	2.500	0.607	1	1.000	0.083	NA	NA	NA	NA
k141_3411	637	0.359	1	18.000	1.000	4	9.250	0.653	NA	NA	NA	NA
k141_1652	636	0.368	1	75.000	1.000	4	50.250	0.868	NA	NA	NA	NA
k141_4766	634	0.379	1	6.000	1.000	2	21.000	0.578	NA	NA	NA	NA
k141_9928	634	0.427	1	1.000	1.000	2	1.000	0.707	NA	NA	NA	NA
k141_10052	633	0.384	3	1.333	0.836	1	1.000	0.825	NA	NA	NA	NA
k141_4716	632	0.400	1	7.000	1.000	1	3.000	0.995	NA	NA	NA	NA
k141_9726	631	0.391	2	1.000	0.609	1	1.000	0.983	NA	NA	NA	NA
k141_952	630	0.362	1	25.000	1.000	3	10.667	0.563	NA	NA	NA	NA
k141_8125	630	0.537	1	10.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_3081	627	0.389	1	2.000	1.000	3	2.333	0.864	NA	NA	NA	NA
k141_9511	627	0.386	2	1.500	0.749	1	3.000	0.786	NA	NA	NA	NA
k141_5012	627	0.388	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_245	626	0.390	2	2.500	0.950	1	2.000	0.331	NA	NA	NA	NA
k141_10223	625	0.386	2	1.000	0.773	1	3.000	0.966	NA	NA	NA	NA
k141_10087	621	0.386	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_1828	620	0.327	1	26.000	1.000	3	19.000	0.798	NA	NA	NA	NA
k141_7524	620	0.437	1	1.000	1.000	4	2.750	0.892	NA	NA	NA	NA
k141_6073	620	0.356	1	3.000	1.000	2	2.000	0.752	NA	NA	NA	NA
k141_3888	617	0.397	2	2.500	0.890	1	6.000	0.994	NA	NA	NA	NA
k141_10325	616	0.414	1	2.000	1.000	1	1.000	0.998	NA	NA	NA	NA
k141_2667	615	0.385	1	12.000	1.000	1	24.000	0.826	NA	NA	NA	NA
k141_7914	614	0.383	1	4.000	1.000	1	1.000	0.492	NA	NA	NA	NA
k141_9391	611	0.432	2	1.000	0.765	1	2.000	0.560	NA	NA	NA	NA
k141_956	609	0.406	1	2.000	1.000	4	1.500	0.390	NA	NA	NA	NA
k141_5609	609	0.391	1	2.000	1.000	1	1.000	0.133	NA	NA	NA	NA
k141_10522	608	0.413	2	1.500	0.982	0	0.000	0.000	NA	NA	NA	NA
k141_527	607	0.344	1	2.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_626	607	0.369	3	1.000	0.615	1	1.000	0.738	NA	NA	NA	NA
k141_9984	607	0.292	1	5.000	1.000	1	8.000	0.947	NA	NA	NA	NA
k141_5997	607	0.382	1	2.000	0.997	2	1.500	0.163	NA	NA	NA	NA
k141_667	606	0.351	1	1.000	1.000	2	3.000	0.559	NA	NA	NA	NA
k141_8731	606	0.366	2	1.000	0.655	0	0.000	0.000	NA	NA	NA	NA
k141_152	606	0.432	3	1.000	0.617	1	2.000	0.175	NA	NA	NA	NA
k141_9924	606	0.411	3	1.000	0.778	1	1.000	0.345	NA	NA	NA	NA
k141_10231	601	0.384	1	2.000	1.000	5	1.400	0.583	NA	NA	NA	NA
k141_8446	601	0.378	1	9.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_9925	600	0.380	2	1.000	0.555	1	1.000	0.888	NA	NA	NA	NA
k141_7986	599	0.406	1	3.000	1.000	3	3.000	0.698	NA	NA	NA	NA
k141_2769	597	0.375	1	53.000	1.000	2	11.500	0.563	NA	NA	NA	NA
k141_9854	597	0.402	1	36.000	1.000	6	29.000	0.646	NA	NA	NA	NA
k141_10455	594	0.357	1	2.000	1.000	3	1.000	0.407	NA	NA	NA	NA
k141_8974	594	0.386	1	46.000	1.000	1	33.000	0.997	NA	NA	NA	NA
k141_9914	594	0.379	1	1.000	1.000	7	1.429	0.446	NA	NA	NA	NA
k141_7248	593	0.364	2	1.000	0.829	1	1.000	0.509	NA	NA	NA	NA
k141_8966	593	0.373	2	1.000	0.693	1	1.000	0.776	NA	NA	NA	NA
k141_5887	592	0.417	1	1.000	1.000	4	3.000	0.859	NA	NA	NA	NA
k141_4798	591	0.403	2	2.000	0.883	1	4.000	0.646	NA	NA	NA	NA
k141_7178	591	0.411	1	1.000	1.000	1	2.000	0.853	NA	NA	NA	NA
k141_2479	590	0.369	1	3.000	1.000	2	5.000	0.573	NA	NA	NA	NA
k141_7561	590	0.363	1	3.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_10294	590	0.381	1	1.000	1.000	1	1.000	0.286	NA	NA	NA	NA
k141_6571	588	0.400	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_9918	588	0.369	1	14.000	1.000	1	16.000	1.000	NA	NA	NA	NA
k141_8122	587	0.376	3	6.333	0.935	1	9.000	0.991	NA	NA	NA	NA
k141_7506	587	0.399	2	3.000	0.676	1	2.000	0.620	NA	NA	NA	NA
k141_9877	586	0.367	1	7.000	1.000	2	8.000	0.468	NA	NA	NA	NA
k141_9820	585	0.364	1	1.000	1.000	1	1.000	0.280	NA	NA	NA	NA
k141_6897	585	0.393	1	1.000	1.000	1	3.000	0.603	NA	NA	NA	NA
k141_89	584	0.396	1	1.000	0.978	1	1.000	0.433	NA	NA	NA	NA
k141_5022	584	0.390	1	1.000	1.000	2	1.000	0.505	NA	NA	NA	NA
k141_10287	584	0.380	1	1.000	1.000	2	1.000	0.377	NA	NA	NA	NA
k141_1932	583	0.425	3	2.000	0.726	1	2.000	0.696	NA	NA	NA	NA
k141_5851	583	0.391	1	1.000	0.887	1	2.000	0.777	NA	NA	NA	NA
k141_10443	583	0.400	2	1.500	0.797	1	1.000	0.592	NA	NA	NA	NA
k141_5340	582	0.436	3	1.333	0.774	1	5.000	0.521	NA	NA	NA	NA
k141_1254	582	0.383	3	4.667	0.837	1	3.000	0.742	NA	NA	NA	NA
k141_1397	581	0.384	2	1.000	0.584	1	1.000	1.000	NA	NA	NA	NA
k141_8747	580	0.376	1	1.000	1.000	6	1.333	0.756	NA	NA	NA	NA
k141_6979	577	0.373	1	1.000	0.974	0	0.000	0.000	NA	NA	NA	NA
k141_10459	576	0.394	1	2.000	1.000	2	1.000	0.406	NA	NA	NA	NA
k141_855	575	0.341	1	1.000	1.000	1	1.000	0.579	NA	NA	NA	NA
k141_8788	575	0.362	1	1.000	1.000	3	1.333	0.713	NA	NA	NA	NA
k141_31	574	0.437	3	1.333	0.668	1	2.000	0.866	NA	NA	NA	NA
k141_10403	573	0.410	1	3.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_4451	572	0.357	2	1.000	0.524	0	0.000	0.000	NA	NA	NA	NA
k141_10357	570	0.419	1	1.000	1.000	2	5.000	0.912	NA	NA	NA	NA
k141_5608	570	0.416	3	1.667	0.902	1	1.000	0.421	NA	NA	NA	NA
k141_8765	569	0.420	2	3.500	0.907	1	2.000	0.715	NA	NA	NA	NA
k141_7133	568	0.356	1	17.000	1.000	4	25.000	0.890	NA	NA	NA	NA
k141_10174	568	0.394	3	1.000	0.691	1	1.000	0.660	NA	NA	NA	NA
k141_9958	567	0.370	1	11.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_490	567	0.416	2	1.000	0.893	0	0.000	0.000	NA	NA	NA	NA
k141_5028	567	0.353	1	23.000	0.986	6	34.500	0.468	NA	NA	NA	NA
k141_9723	566	0.376	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_9682	566	0.396	1	1.000	0.998	6	1.667	0.720	NA	NA	NA	NA
k141_8845	564	0.358	3	1.333	0.677	1	1.000	0.647	NA	NA	NA	NA
k141_6933	563	0.430	2	1.000	0.955	0	0.000	0.000	NA	NA	NA	NA
k141_2398	563	0.435	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_8560	563	0.371	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_10349	562	0.352	3	2.333	0.890	1	3.000	0.852	NA	NA	NA	NA
k141_5808	562	0.381	1	1.000	0.886	1	4.000	0.881	NA	NA	NA	NA
k141_2371	562	0.399	2	1.500	0.886	0	0.000	0.000	NA	NA	NA	NA
k141_10046	562	0.351	1	2.000	1.000	2	1.000	0.825	NA	NA	NA	NA
k141_7951	561	0.385	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_1580	560	0.425	3	3.000	1.000	1	8.000	1.000	NA	NA	NA	NA
k141_10118	560	0.373	2	1.000	0.829	1	1.000	0.623	NA	NA	NA	NA
k141_5341	559	0.381	1	2.000	0.977	0	0.000	0.000	NA	NA	NA	NA
k141_5854	557	0.364	1	5.000	1.000	10	8.500	0.933	NA	NA	NA	NA
k141_10097	557	0.366	1	1.000	1.000	3	3.333	0.835	NA	NA	NA	NA
k141_10445	557	0.382	3	1.000	0.398	0	0.000	0.000	NA	NA	NA	NA
k141_8286	556	0.387	1	1.000	1.000	2	2.500	0.937	NA	NA	NA	NA
k141_4973	556	0.363	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_9600	556	0.371	2	2.500	0.976	0	0.000	0.000	NA	NA	NA	NA
k141_3986	556	0.360	1	1.000	1.000	3	3.000	0.291	NA	NA	NA	NA
k141_2202	555	0.393	1	3.000	1.000	1	2.000	0.708	NA	NA	NA	NA
k141_10092	555	0.382	1	1.000	1.000	1	1.000	0.137	NA	NA	NA	NA
k141_5651	554	0.421	3	2.667	0.948	1	11.000	0.993	NA	NA	NA	NA
k141_8280	553	0.412	2	1.000	0.806	1	1.000	0.946	NA	NA	NA	NA
k141_7380	553	0.394	1	4.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_8697	552	0.279	1	2.000	1.000	2	1.500	0.508	NA	NA	NA	NA
k141_9038	552	0.353	1	3.000	1.000	2	4.500	0.500	NA	NA	NA	NA
k141_10546	552	0.368	1	1.000	0.969	0	0.000	0.000	NA	NA	NA	NA
k141_1890	552	0.399	1	34.000	1.000	4	49.000	0.845	NA	NA	NA	NA
k141_4872	552	0.332	1	7.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_3688	551	0.419	2	1.000	0.775	1	1.000	0.927	NA	NA	NA	NA
k141_10311	551	0.388	1	17.000	1.000	2	6.000	0.567	NA	NA	NA	NA
k141_10300	550	0.404	2	2.000	0.763	1	5.000	0.889	NA	NA	NA	NA
k141_1247	549	0.377	1	2.000	1.000	8	1.625	0.713	NA	NA	NA	NA
k141_8074	548	0.352	1	54.000	1.000	1	25.000	0.996	NA	NA	NA	NA
k141_9836	548	0.398	1	91.000	1.000	5	51.800	0.740	NA	NA	NA	NA
k141_9688	547	0.377	1	1.000	1.000	1	1.000	0.499	NA	NA	NA	NA
k141_4393	547	0.388	2	1.500	0.927	1	1.000	0.987	NA	NA	NA	NA
k141_9322	546	0.359	1	1.000	1.000	2	1.000	0.349	NA	NA	NA	NA
k141_10274	545	0.424	1	1.000	1.000	1	2.000	0.442	NA	NA	NA	NA
k141_3638	545	0.365	1	1.000	1.000	1	1.000	0.420	NA	NA	NA	NA
k141_4000	545	0.418	2	1.000	0.739	1	3.000	0.703	NA	NA	NA	NA
k141_7923	544	0.421	3	2.333	0.779	1	1.000	0.528	NA	NA	NA	NA
k141_4030	544	0.377	2	1.500	0.725	0	0.000	0.000	NA	NA	NA	NA
k141_3528	543	0.381	2	1.500	0.987	1	2.000	0.672	NA	NA	NA	NA
k141_9162	542	0.423	2	2.000	0.872	1	1.000	0.323	NA	NA	NA	NA
k141_2841	542	0.373	1	6.000	1.000	2	2.500	0.696	NA	NA	NA	NA
k141_4385	542	0.399	3	1.333	0.718	1	1.000	0.810	NA	NA	NA	NA
k141_8766	541	0.370	4	10.500	0.810	1	14.000	0.847	NA	NA	NA	NA
k141_10189	541	0.392	1	31.000	1.000	1	26.000	1.000	NA	NA	NA	NA
k141_6030	541	0.377	2	1.000	0.663	1	7.000	0.941	NA	NA	NA	NA
k141_9955	541	0.399	1	2.000	1.000	2	1.000	0.614	NA	NA	NA	NA
k141_6323	541	0.401	1	1.000	0.954	0	0.000	0.000	NA	NA	NA	NA
k141_10370	539	0.410	2	1.500	0.667	0	0.000	0.000	NA	NA	NA	NA
k141_3541	538	0.407	3	8.000	0.981	1	27.000	0.987	NA	NA	NA	NA
k141_1382	538	0.422	2	1.000	0.979	1	2.000	0.632	NA	NA	NA	NA
k141_4862	538	0.405	1	1.000	1.000	2	1.000	0.488	NA	NA	NA	NA
k141_111	538	0.418	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_9088	538	0.407	1	1.000	1.000	1	1.000	0.993	NA	NA	NA	NA
k141_2566	537	0.413	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_9357	536	0.384	3	1.667	0.808	1	1.000	0.528	NA	NA	NA	NA
k141_10481	536	0.397	1	1.000	1.000	1	2.000	0.336	NA	NA	NA	NA
k141_8454	535	0.436	1	1.000	1.000	6	2.167	0.677	NA	NA	NA	NA
k141_5601	534	0.412	2	1.500	1.000	1	1.000	0.360	NA	NA	NA	NA
k141_4517	533	0.392	3	4.333	0.875	1	13.000	1.000	NA	NA	NA	NA
k141_7509	533	0.415	2	1.500	0.758	1	1.000	0.859	NA	NA	NA	NA
k141_4296	532	0.370	1	107.000	1.000	1	63.000	1.000	NA	NA	NA	NA
k141_7696	531	0.348	1	9.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_1108	531	0.371	2	1.000	1.000	1	2.000	0.416	NA	NA	NA	NA
k141_3279	530	0.423	4	1.000	0.781	1	5.000	0.972	NA	NA	NA	NA
k141_7458	530	0.417	1	2.000	1.000	4	7.250	0.842	NA	NA	NA	NA
k141_10009	529	0.403	2	1.500	0.999	1	1.000	0.998	NA	NA	NA	NA
k141_919	529	0.397	2	1.500	0.840	1	3.000	0.592	NA	NA	NA	NA
k141_8162	528	0.277	1	1.000	1.000	0	0.000	0.000	NA	NA	NA	NA
k141_4428	528	0.394	3	4.667	0.947	1	19.000	1.000	NA	NA	NA	NA
k141_5319	527	0.383	1	2.000	1.000	4	4.750	0.788	NA	NA	NA	NA
k141_10083	527	0.408	1	1.000	1.000	3	1.000	0.544	NA	NA	NA	NA
k141_3876	526	0.407	1	6.000	1.000	4	7.500	0.652	NA	NA	NA	NA
k141_8350	526	0.388	1	3.000	0.804	1	1.000	0.563	NA	NA	NA	NA
k141_5496	526	0.411	2	1.500	0.922	1	2.000	0.576	NA	NA	NA	NA
k141_9158	525	0.377	2	1.000	0.853	1	1.000	0.893	NA	NA	NA	NA
k141_8504	524	0.410	1	1.000	0.868	1	2.000	0.645	NA	NA	NA	NA
k141_10430	524	0.437	1	4.000	1.000	2	2.000	0.767	NA	NA	NA	NA
k141_4819	524	0.403	1	3.000	1.000	2	1.500	0.461	NA	NA	NA	NA
k141_3329	522	0.400	3	2.000	0.934	0	0.000	0.000	NA	NA	NA	NA
k141_8756	522	0.433	1	1.000	0.927	1	2.000	0.734	NA	NA	NA	NA
k141_4055	522	0.425	1	2.000	1.000	2	1.500	0.562	NA	NA	NA	NA
